action,context,order,states,top1,top3,top5,top10,mean_rank,mrr,draft_phase,order_bucket,dominant_role,acting_team_id,opponent_team_id
ban,opponent_team,,56,0.125,0.25,0.3392857142857143,0.5714285714285714,10.928571428571429,0.2565963137937561,,,,,8261500.0
ban,opponent_team,,35,0.22857142857142856,0.4,0.4857142857142857,0.6285714285714286,10.885714285714286,0.35734029635359565,,,,,8291895.0
ban,opponent_team,,77,0.3116883116883117,0.5324675324675324,0.6493506493506493,0.8181818181818182,6.363636363636363,0.4669590029221304,,,,,9247354.0
ban,opponent_team,,35,0.08571428571428572,0.34285714285714286,0.5142857142857142,0.8285714285714286,6.828571428571428,0.29774352631495493,,,,,9255039.0
ban,opponent_team,,35,0.05714285714285714,0.2571428571428571,0.4,0.5714285714285714,12.8,0.22958291009000859,,,,,9303383.0
ban,opponent_team,,14,0.2857142857142857,0.5714285714285714,0.7142857142857143,0.7142857142857143,8.571428571428571,0.4543666859456333,,,,,9303484.0
ban,opponent_team,,91,0.08791208791208792,0.2087912087912088,0.37362637362637363,0.6593406593406593,10.637362637362637,0.2371024593291884,,,,,9338413.0
ban,opponent_team,,14,0.07142857142857142,0.2857142857142857,0.5714285714285714,0.5714285714285714,12.285714285714286,0.26021365852192924,,,,,9351740.0
ban,opponent_team,,91,0.18681318681318682,0.5054945054945055,0.6373626373626373,0.8791208791208791,5.252747252747253,0.3968966581024401,,,,,9467224.0
ban,opponent_team,,70,0.2,0.34285714285714286,0.42857142857142855,0.6,10.128571428571428,0.32087078948765985,,,,,9572001.0
ban,opponent_team,,21,0.2857142857142857,0.6666666666666666,0.8095238095238095,0.8571428571428571,4.0,0.5121870193298764,,,,,9600141.0
ban,opponent_team,,7,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.7142857142857143,10.0,0.33184523809523814,,,,,9885310.0
ban,opponent_team,,14,0.35714285714285715,0.5,0.7142857142857143,0.7142857142857143,7.928571428571429,0.49038461538461536,,,,,9895247.0
ban,opponent_team,,14,0.0,0.07142857142857142,0.35714285714285715,0.5,12.928571428571429,0.15321219396849647,,,,,9928636.0
ban,opponent_team,,14,0.35714285714285715,0.42857142857142855,0.42857142857142855,0.7142857142857143,15.5,0.4410939232367803,,,,,9973656.0
